Sample ID,Soil Salinity (EC),Soil pH,Organic Matter Content (%),Soil Moisture (%),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),Sand (%),Silt (%),Clay (%),Microbial Activity (CFU/g),CEC (meq/100g),SAR,Erosion Risk,Optimal Biofertilizer Formulation
1,2.5,6.8,3.2,25.0,15.0,10.0,200.0,40.0,30.0,30.0,5000000.0,12.0,5.0,Low,Formulation A
2,1.8,7.2,2.8,30.0,20.0,15.0,250.0,50.0,25.0,25.0,2000000.0,10.0,3.0,Medium,Formulation B
3,3.0,6.5,4.0,20.0,10.0,8.0,180.0,35.0,35.0,30.0,1200000.0,15.0,7.0,High,Formulation C
4,2.0,7.0,3.5,28.0,18.0,12.0,320.0,45.0,30.0,25.0,1800000.0,11.0,4.0,Low,Formulation D
5,2.8,6.9,3.0,22.0,14.0,9.0,190.0,38.0,32.0,30.0,14000000.0,13.0,6.0,Medium,Formultaion E
6,2.5432303520715824,6.9012718670529205,3.0985776047117914,27.00892311798718,16.6453255754763,11.958619162151672,197.1372244059716,36.3916083634802,26.71093867031941,26.441345647949348,9294251.779407658,14.799961859045736,5.527357626408731,Medium,Formulation B
7,2.119585668237689,7.128951410594507,3.6024978827149434,22.61360996267792,14.039310520290954,13.944863018648531,309.87466157737924,41.14151581242624,32.15684285816264,26.4136935289432,8915651.680676928,14.204196970995396,4.004103967281923,Low,Formulation C
8,2.601802549050431,6.752663144148998,3.204572051654174,29.59259821010672,11.941915143714546,13.451956998943253,189.38379976727097,45.36247170484991,28.642995506238105,25.075025988126065,2474080.8107919777,11.068794163147546,3.5538947654449484,Low,Formulation A
9,2.850542586037036,7.060721428046472,3.835241591931502,27.20960797229941,16.90674511628353,9.941683377173543,299.61656354125057,43.09663867867784,26.855524758863258,29.49171653096182,4939609.614703095,11.104426031287954,6.229131551929649,Low,Formulation C
10,2.932894662099938,6.6444489550417405,3.964334607586944,20.95869381278985,17.48344993414024,13.705910519351931,296.51377856562794,43.5243972076596,31.27111524426565,26.263656871970788,3988601.442356067,13.537002105306197,6.153986967085165,High,Formulation B
11,2.472645567070804,6.681510330430874,2.9517219717296896,22.21756780470612,12.576717165777872,12.418016426770524,307.8977045111445,45.52066626202674,31.009302536851013,27.72066770911004,9912824.227148414,12.553388827477336,4.36266008269971,High,Formulation D
12,1.8941595425785145,6.966730018784882,2.9036135952119,22.506863973768265,18.967188246270773,13.91937863838847,263.27454686134104,42.282310965234046,33.447622049059866,26.292346645034858,13183532.7566108,11.106444294659404,6.964515120709672,High,Formulation D
13,2.812807510277497,6.695987617350002,3.156717245020505,29.36744363039549,14.698260599022523,9.700878515307956,319.9945916690032,35.04535386511331,26.53198380900037,29.217912032381463,3294884.834251049,14.274479263155456,6.71745763753513,Medium,Formulation B
14,1.9315671843372944,6.674478188044817,3.324979596185161,25.90109526486779,16.312549619731964,12.514768088607912,276.8612929026505,41.9285635754076,33.71612736483624,29.76813668490555,3130691.489090434,11.85526194264053,4.507013938719512,Low,Formulation B
